,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
119,One Night In Bangkok,20%,35%,R(SomeSexuality|BriefDrugUse|Nudity|Language|Violence),"mysteryandthriller,action",English,WychKaosayananda,"WychKaosayananda,MarkDacascos,ScottClayton,AdamZacharySmith",WychKaosayananda,,"Aug23,2020",1h45m,GrindstoneEntertainmentGroup,Scope(2.35:1),,,
120,The Bay Of Silence,50%,61%,,mysteryandthriller,English(UnitedKingdom),PaulavanderOest,PatrickBeharelle,,,"Aug14,2020",1h20m,"ImperativeEntertainment,SoWhatPictures",,,,
121,The Pale Door,51%,64%,,"horror,western",English,AaronB.Koontz,"CameronBurns,RomanDent,AaronB.Koontz,JamesNorrie,AshleighSnead,MattThomas",AaronB.Koontz,"Aug21,2020 limited","Aug21,2020",1h36m,"StorytellerMedia,BondItMediaCapital,PaperStreetPictures,TitleMedia",,,,
122,The Honeymoon Phase,89%,73%,,"scifi,mysteryandthriller,horror",English,PhillipG.CarrollJr.,"PhillipG.CarrollJr.,ChloeCarroll",PhillipG.CarrollJr.,"Aug21,2020 limited","Aug21,2020",1h28m,AspireMotionPictures,,,,
123,Rogue,71%,17%,R(BloodyImages|StrongViolence|LanguageThroughout),"mysteryandthriller,action",English,M.J.Bassett,"KyleAmbrose,DelonBakker,M.J.Bassett,MollyHassell","IsabelBassett,M.J.Bassett","Aug28,2020 limited","Aug28,2020",1h30m,"HassellFreeProduction,TheElectricShadowCompany,MannequinPictures",,,,
124,The Vanished,15%,50%,R(Violence|BriefSexuality|Language|DrugUse),mysteryandthriller,English,PeterFacinelli,"JeffElliott,BrandonMenchen,SashaYelaun",PeterFacinelli,"Aug21,2020 limited","Aug21,2020",1h55m,"AdonaisProductions,Brickell&BroadbridgeInternational,Benay'sBirds&Animals",,,,
125,Hard Kill,0%,71%,R(LanguageThroughout|Violence),"mysteryandthriller,action",English,MattEskandari,"AlexanderG.Eckert,RandallEmmett,GeorgeFurla,ShaunSanghani,MarkStewart,TimothyC.Sullivan","JoeRusso,ChrisLaMont",,"Aug25,2020",1h35m,"RiverBayFilms,BondItMediaCapital,SSSEntertainment,Buffalo8Productions,Emmett/Furla/OasisFilms,SSSFilmCapital",,,,
126,Pretending I'm A Superman: The Tony Hawk Video Game Story,100%,79%,,documentary,English,LudvigGür,RalphD'Amato,,,"Aug18,2020",1h20m,,,,,
127,The Blech Effect,67%,NaN,,documentary,English,DavidGreenwald,,,,"Aug25,2020",,,,,,
128,Jazz On A Summer's Day,100%,81%,,"music,documentary",English,BertStern,BertStern,,,"Aug12,2020",1h25m,"GalaxyProductions(I),RavenFilms",,,,
129,Le Week-End,89%,56%,R(SomeSexualContent|Language),"comedy,drama",English,RogerMichell,"BertrandFaivre,KevinLoader",HanifKureishi,"Mar14,2014 limited","Aug10,2016",1h33m,"Film4,FreeRangeFilms",,,$2.2M,
130,Sweet Bean (An),84%,86%,,"comedy,drama",Japanese,NaomiKawase,"MasaSawada,KoichiroFukushima,YoshitoOyama",NaomiKawase,"Mar18,2016 limited","Aug10,2016",1h53m,"CommedesCinémas,NagoyaBroadcastingNetwork(NBN)",,,$123.7K,
131,House Of Hummingbird (Beolsae),100%,66%,,drama,Korean,BoraKim,"BoraKim,ZoeSuaCho",BoraKim,"Jun26,2020 limited","Jun26,2020",2h18m,"Epiphany,MassOrnamentFilms",,,,
132,Out Stealing Horses (Ut Og Stjæle Hester),79%,NaN,,drama,Norwegian,HansPetterMoland,"TuridØversveen,HåkonØverås",HansPetterMoland,"Aug7,2020 limited","Aug7,2020",2h3m,"ZentropaInternationalSweden,NorwegianFilmInstitute,41/2Film,HelgelandFilm,41/2Fiksjon,ZentropaEntertainments",Scope(2.35:1),,,
133,Around The Sun,93%,80%,,drama,English,OliverKrimpas,OliverKrimpas,JonathanKiefer,,"Aug4,2020",1h19m,Execution-DependentFilms,,,,
134,Promare,97%,93%,PG-13(SomeViolenceandLanguage),"adventure,scifi,anime",Japanese,HiroyukiImaishi,,KazukiNakashima,"Sep20,2019 limited","Apr19,2020",1h51m,"SanzigenAnimationStudio,Xflag,StudioTrigger",,,$2.3M,
135,Ride Your Wave,93%,100%,,"anime,comedy",Japanese,MasaakiYuasa,,,,"Aug4,2020",1h34m,,,,$330.6K,
136,Lake Michigan Monster,84%,NaN,,"adventure,comedy",English,RylandBricksonColeTews,"MikeCheslik,SebastianJohnson,RylandBricksonColeTews",RylandBricksonColeTews,,"Aug3,2020",1h18m,,,,,
137,Waiting For The Barbarians,54%,65%,,"drama,history",English,CiroGuerra,"MonikaBacardi,MichaelFitzgerald,AndreaIervolino,OlgaSegura",JohnMaxwellCoetzee,,"Aug7,2020",1h52m,"IervolinoEntertainment,IthacaPictures",,,,
138,Fagara (Huajiao Zhiwei),100%,86%,,drama,Chinese,HeiwardMak,,HeiwardMak,"Sep13,2019 limited","Mar25,2020",2h,,,,,
139,Red Penguins,98%,100%,PG-13(Violence/BloodyImages|ADrugReference|SomeStrongLanguage|SexualMaterial/Nudity),documentary,English,GabePolsky,GabePolsky,,,"Aug4,2020",1h20m,"GabrielPolskyProductions,StudioHamburgEnterprises(SHE),NorddeutscherRundfunk(NDR)[de]",,,,
140,The Secret Garden,64%,47%,PG(ThematicElements|SomeMildPeril),"drama,fantasy",English(UnitedKingdom),MarcMunden,"DavidHeyman,RosieAlison",JackThorne,,"Aug7,2020",1h39m,"StudioCanal,HeydayFilms",,,,
141,Big Fur,100%,NaN,,documentary,English,DanWayne,"JonNiccum,DanWayne",,,"Aug11,2020",1h16m,WedgeFilms,,,,
142,I Used To Go Here,85%,50%,,comedy,English,KrisRey,"JordanBeckerman,JonathanDuffy,JordanYaleLevine,KellyWilliams",KrisRey,,"Aug7,2020",1h20m,"BondItMediaCapital,SSSEntertainment,TenAcreFilms,YaleProductions,SSSFilmCapital,PartyOverHere,Buffalo8Productions",,,,
143,She Dies Tomorrow,84%,23%,R(BloodyImages|SexualReference|DrugUse),"drama,mysteryandthriller",English,AmySeimetz,"JustinBenson,DavidLawsonJr.,AaronMoorhead,AmySeimetz",AmySeimetz,"Jul31,2020 limited","Aug7,2020",1h24m,RusticFilms,,,,
144,Skin Walker,60%,NaN,,"mysteryandthriller,horror",English,ChristianNeuman,JesusGonzalez-Elvira,ChristianNeuman,"Jul24,2020 limited","Aug2,2020",1h30m,"CalachFilms,CaviarFilms",,,,
145,Made In Italy,48%,46%,R(Language),"drama,comedy",English(UnitedKingdom),JamesD'Arcy,"PippaCross,SamTipper-Hale",JamesD'Arcy,"Aug7,2020 limited","Aug7,2020",1h34m,"IndianaProductionCompany,CrossDayProductionsLtd.",Flat(1.85:1),,$101.1K,
146,"Psychomagic, A Healing Art (Psychomagie, Un Art Pour Guérir)",75%,NaN,,documentary,English,AlejandroJodorowsky,,,,"Aug7,2020",,,,,,
147,Max Reload And The Nether Blasters,82%,76%,,"adventure,fantasy",English,"ScottConditt,JeremyTremp","ScottConditt,RobEdwards,GregGrunberg,JesseLobell,JeremyTremp","ScottConditt,JeremyTremp","Aug7,2020 limited","Aug11,2020",1h41m,CineForgeMedia,,,,
148,Paydirt,22%,25%,,"crime,mysteryandthriller,action,drama",English,ChristianSesma,"JackCampbell,LukeGoss,MikeHatton,ChristianSesma",ChristianSesma,"Aug7,2020 limited","Aug7,2020",1h25m,"OctaneEntertainment,SeskriProduktionz,TonofHats",,,,
149,SamSam,20%,NaN,,"scifi,comedy,animation,adventure,kidsandfamily",French(France),TanguyDeKermel,"DamienBrunner,DidierBrunner,GaetanDavid,AndréLogie","ValérieMagis,JeanRégnaud","Aug7,2020 limited","Aug7,2020",1h17m,"Ciné+,Pictanovo,LeTaxShelterduGouvernementFédéraldeBelgique,LaCompagnieCinématographique,Folivari,TaxShelterdeMovieTaxInvest,RégiondeBruxelles-Capitale,France4,MacGuffLigne,PanacheProductions,RadioTélévisionBelgeFrancophone,FranceTélévisions,Devtvcine4,Procirep,RégionHauts-de-France,StudioCanal,CentreduCinémaetdel'AudiovisueldelaFédérationWallonie-Bruxelles,Canal+,France3Cinéma",Scope(2.35:1),,,
150,The Tax Collector,19%,72%,,"mysteryandthriller,crime,drama",English,DavidAyer,"MatthewAntoun,DavidAyer,ChrisLong,TylerThompson",DavidAyer,"Aug7,2020 limited","Aug7,2020",1h35m,"FasterHorsePictures,CrossCreekPictures,KodiakPictures,CedarCreekProductions",,,$942.7K,
151,Uncle Peckerhead,100%,73%,,"comedy,horror",English,MatthewJohnLawrence,"MatthewJohnLawrence,KristyRichman,NicholasSantos",MatthewJohnLawrence,"Aug7,2020 limited","Aug11,2020",1h37m,SubtleT-Rex,Scope(2.35:1),,,
152,Nothing But The Blood,0%,NaN,,"mysteryandthriller,horror",English,DanielTucker,"DanielM.Armendariz,JoanHudson,PaulHudson,RachelHudson,RodMeek",DanielTucker,,"Aug4,2020",1h29m,LolaCatProductions,,,,
153,Senior Love Triangle,88%,NaN,,drama,English,KellyBlatz,"JennaCavelle,DrewDiamond,MatthewSmaglik","KellyBlatz,IsadoraKosofsky",,"Aug3,2020",1h33m,FlamingoEyes,,,,
154,Deathstroke: Knights & Dragons,80%,56%,TV14,"adventure,action,animation",English,SungJinAhn,,,,"Jul5,2020",1h27m,,,,,
155,Pearl,57%,88%,,drama,English,BobbyRoth,"BobbyRoth,JeffreyWhite",BobbyRoth,"Aug11,2020 limited","Aug11,2020",1h33m,"JungNRestlessProductionsInc.,JeffreyWhiteProductions",,,,
156,What We Found,NaN,NaN,,,,,,,,,,,,,,
157,Kat And The Band,60%,NaN,,"music,comedy",English(UnitedKingdom),E.E.Hegarty,"IanDavies,RebeccaLong,StellaNwimo",JemmaField,,"Aug11,2020",1h32m,BoudicaFilms,,,,
158,Monstrous,60%,38%,,"mysteryandthriller,horror",English,BruceWemple,,AnnaShields,,"Aug11,2020",1h26m,"377Films,TraverseTerror",,,,
159,Stars And Strife,89%,NaN,,documentary,English,DavidSmick,,,,"Aug4,2020",,,,,,
160,The American Nurse,100%,89%,,documentary,English,CarolynJones,LisaFrank,CarolynJones,,"Apr16,2017",1h21m,,,,,
161,Game Of Death,56%,23%,,"horror,mysteryandthriller",English,"SébastienLandry,LaurenceMorais-Lagace","MathiasBernard,Pierre-AlexandreBouchard,PhilipKalin-Hajdu","EdouardH.Bond,SébastienLandry,LaurenceMorais-Lagace","Jul3,2020 limited","Jul14,2020",1h13m,"LesProductionsLaGuérilla,Rockzeline,Blackpills",,,,
162,Retaliation (Romans),80%,52%,R(LanguageThroughout|DisturbingViolentContent|DisturbingSexualContent|SomeNudity),"mysteryandthriller,drama",English(UnitedKingdom),"LudwigShammasian,PaulShammasian","JasperGraham,JamesHarris,MarkLane,SheetalVinodTalwar",GeoffThompson,"Jul24,2020 limited","Jul24,2020",1h31m,"TeaShop&FilmCompany,WorldwideEntertainmentGroup,Dreamscape",Scope(2.35:1),,,
163,Fisherman's Friends,67%,69%,PG-13(SuggestiveReferences|SomeStrongLanguage),"drama,comedy",English(UnitedKingdom),ChrisFoggin,"MegLeonard,JamesSpring","PiersAshworth,MegLeonard,NickMoorcroft",,"Jul24,2020",1h52m,"FredFilms,BondItMediaCapital,PowderkegPictures",Scope(2.35:1),,,
164,The Sunlit Night,33%,57%,,romance,English,DavidWnendt,"MichaelB.Clark,RebeccaDinerstein,FabianGasmia,JennySlate,GabrielleNadig,RubenThorkildsen,AlexTurtletaub",RebeccaDinerstein,"Jul17,2020 limited","Jul17,2020",1h49m,"Detailfilm,Ape&BjørnAS",,,,
165,Babysplitters,69%,89%,,comedy,English,SamFriedlander,"MattDiNicola,SamFriedlander,DavidC.Smith,RebeccaG.Stone",SamFriedlander,,"Jul23,2020",1h59m,"Route66Films,ThirdLawProductions",,,,
166,"Yes, God, Yes",94%,67%,R(SexualContent|SomeNudity),comedy,English,KarenMaine,"KatieCordeal,ColleenHammond",KarenMaine,"Jul24,2020 limited","Jul28,2020",1h18m,"MaidenVoyageFilms,RTFeatures",,,,
167,Samurai Marathon,75%,NaN,,"drama,history",Japanese,BernardRose,,"BernardRose,HiroshiSaitô,KikumiYamagishi",,"May12,2020",1h43m,,,,,
168,Carmilla,71%,NaN,,"romance,fantasy,drama,gayandlesbian",English(UnitedKingdom),EmilyHarris,LizzieBrown,,"Jul17,2020 limited","Jul17,2020",1h34m,"FredFilms,BirdFlightFilms,HysteriaPictures",,,,
169,Dead Dicks,100%,58%,,horror,English,"ChrisBavota,LeePaulaSpringer",,,,"Jul28,2020",,,,,,
170,The Painted Bird,81%,58%,,drama,Czech,VáclavMarhoul,VáclavMarhoul,VáclavMarhoul,"Jul17,2020 limited","Jul15,2020",2h49m,"PubRes,SilverScreenPartnersII",Scope(2.35:1),,$1.3K,
171,Don't Be Nice,100%,86%,,documentary,English,MaxPowers,"CoraAtkinson,NikhilMelnechuk",,"Sep20,2019 limited","Jul19,2020",1h36m,,,,,
172,Dirt Music,29%,55%,,romance,English,GregorJordan,"FinolaDwyer,AngieFielder,AmandaPosey,PollyStaniford",JackThorne,,"Jul17,2020",1h45m,"PelgoFilms,WildgazeFilms,Film4,AquariusFilms",Scope(2.35:1),DolbyDigital,,
173,Gundala,83%,77%,,"adventure,scifi,action",Indonesian,JokoAnwar,"WickyV.Olindo,BismarkaKurniawan,SukhdevSingh",JokoAnwar,,"Jul28,2020",2h3m,ScreenplayFilms,,,,
174,Calm With Horses (The Shadow Of Violence),94%,67%,R(PervasiveLanguage|DrugUse|BriefNudity|SomeStrongViolence),"crime,mysteryandthriller,drama",English(UnitedKingdom),NickRowland,DanielEmmerson,JoeMurtagh,"Jul31,2020 limited","Jul31,2020",1h41m,"ScreenIreland,DMCFilm,Film4,ElementPictures,WRAPFund",Scope(2.35:1),,,
175,Blessed Child,90%,NaN,,documentary,English,CaraJones,"CaraJones,ChelseaMatter",,,"Jul17,2020",1h14m,,,,,
176,The Secret: Dare To Dream,29%,82%,PG(LanguageandanInjuryImage),"drama,romance",English,AndyTennant,"RhondaByrne,RobertW.Cort,JoeGelchion,MatthewGeorge,RobertKatz",RickParks,,"Jul31,2020",1h47m,"ShineBoxMediaGroup,IlluminationProductions,SavvyMediaHoldings,TRIG,CovertMedia,RobertCortProductions",,,,
177,Amulet,69%,41%,R(BriefLanguage|BloodyImages|ASexualAssault|Nudity|SomeStrongViolence),"mysteryandthriller,horror",English,RomolaGarai,"MaggieMonteith,MatthewJamesWilkinson",RomolaGarai,"Jul24,2020 limited","Jul23,2020",1h39m,"TriggerFilms,HeadGearFilms,MetrolTechnology,KreoFilmsFZ",,,,
178,Rebuilding Paradise,92%,NaN,PG-13(IntenseScenesofPeril|ThematicElements|SomeStrongLanguage),documentary,English,RonHoward,"SaraBernstein,BrianGrazer,RonHoward,XanParker,JustinWilkes",,,"Jul31,2020",1h35m,"ImagineEntertainment,ImagineDocumentaries",,,,
179,The Fight,98%,65%,PG-13(ThematicMaterial|StrongLanguage|BriefViolence),documentary,English,"ElyseSteinberg,JoshKriegman,EliB.Despres","EliB.Despres,PeggyDrexler,JoshKriegman,MayaSeidler,ElyseSteinberg,KerryWashington",,"Jul31,2020 limited","Jul30,2020",1h36m,"FordFoundation-JustFilms,TopicStudios,EdgelineFilms,SimpsonStreet,BowandArrowEntertainment,DrexlerFilms",,,,
180,Blood Vessel,78%,21%,,horror,English,,,,,"Jul16,2020",1h33m,,,,,
181,The Rental,75%,46%,R(SomeSexuality|LanguageThroughout|DrugUse|Violence),"mysteryandthriller,horror",English,DaveFranco,"DaveFranco,ElizabethHaggard,TeddySchwarzman,BenStillman,ChristopherStorer,JoeSwanberg","DaveFranco,JoeSwanberg","Jul24,2020 limited","Jul24,2020",1h28m,BlackBearPictures,Scope(2.35:1),,$1.6M,
182,Most Wanted,69%,49%,R(DrugContent|SomeViolence|LanguageThroughout),"crime,mysteryandthriller,drama",English,DanielRoby,"Valéried'Auteuil,DanielRoby,AndreRouleau",DanielRoby,"Jul24,2020 limited","Jul24,2020",2h5m,"CaramelFilms,GoldrushEntertainment",,,,
183,Tijuana Jackson: Purpose Over Prison,67%,100%,,comedy,English,RomanyMalco,"BrianR.Etting,JoshH.Etting,RomanyMalco",RomanyMalco,"Jul24,2020 limited","Jul24,2020",1h36m,"GarlinPictures,MomentousMediaNetwork",Flat(1.85:1),,,
184,Legacy Of Lies,86%,60%,R(Language|Violence|SomeSexuality/Nudity),"mysteryandthriller,action",English,AdrianBol,AdrianBol,AdrianBol,,"Jul26,2020",1h41m,,Scope(2.35:1),,,
185,The Big Ugly,41%,65%,R(Violence|BriefDrugUse|SomeSexualContent|LanguageThroughout),"crime,drama",English,ScottWiper,"VinnieJones,KarriO'Reilly,TarquinPack,ScottWiper",ScottWiper,,"Jul31,2020",1h46m,4GVision,,,$502.4K,
186,Easy Does It,29%,79%,,"adventure,comedy",English,WillAddison,"WillAddison,LizzieGuitreau,BenMatheny",WillAddison,,"Jul17,2020",1h37m,"EFIproductions,ContessaProjects,WorklightPictures",,,,
187,A Nice Girl Like You,11%,51%,R(Language|SexualContentThroughout),romance,English,ChrisRiedell,"NicholasBogner,MelanieGreene,JinaPanebianco",AynCarrilloGailey,,"Jul15,2020",1h34m,"SPRMedia,CaliWoodPictures,AffirmativeEntertainment",,,,
188,The Silencing,18%,90%,R(Language|Violence|SomeDisturbingImages),mysteryandthriller,English,RobinPront,CybillLuiEppich,MicahRanum,"Aug14,2020 limited","Jul16,2020",1h33m,"SilencingCanadaProductions,WildlingPictures,MadronaDrive,AnovaPictures",,,$93.8K,
189,Deep Blue Sea 3,69%,38%,R(BloodyImages|SomeViolence|Language),"scifi,action,horror",English,JohnPogue,"PattyReed,HuntLowry",DirkBlackman,,"Jul5,2020",1h39m,RoserockFilms,,,,
190,Helmut Newton: The Bad And The Beautiful,72%,NaN,,documentary,English,GerovonBoehm,,,,"Jul24,2020",1h33m,"MonardaArts,LupaFilm",,,,
191,We Are Little Zombies,92%,67%,,drama,Japanese,MakotoNagahisa,"HaruhikoHasegawa,ShinichiTakahashi,TaiheiYamanishi,HarukiYokoyama",MakotoNagahisa,"Jul10,2020 limited","Jul10,2020",2h,"RobotCommunications,Dentsu,ParcoCo.Ltd.,Nikkatsu,SonyMusicEntertainment",,,,
192,Skyman,63%,100%,,scifi,English,DanielMyrick,"DanielMyrick,AnthonyPernicka,JosephRestaino,WilliamSurgeon",DanielMyrick,"Jun30,2020 limited","Jul7,2020",1h33m,"SkymanProductions,CharacterBrigade,HungryBullProductions,GangofRobots",,,,
193,Zombie For Sale,89%,78%,,,,LeeMin-jae,,,,"Jul1,2020",,,,,,
194,Guest Artist,63%,40%,,drama,English,TimothyBusfield,"MichaelA.Alden,TimothyBusfield,JeffDaniels,MichaelFerdie,MelissaGilbert,MichaelLohmann,AlyssaLoveall",JeffDaniels,,"Jul19,2020",1h14m,GrandRiverProductions,,,$7.0K,
195,"Family Romance, LLC",75%,70%,,drama,Japanese,WernerHerzog,RocMorin,WernerHerzog,,"Jul3,2020",1h29m,SkelligRock,,,,
196,The Truth (La Vérité),88%,68%,PG(Thematic&SuggestiveElements|Smoking|BriefLanguage),drama,French(France),HirokazuKoreeda,"MurielMerlin,MathildeIncerti,MiyukiFukuma",HirokazuKoreeda,,"Jul1,2020",1h46m,"3BProductions,Bun-Buku",Flat(1.85:1),,$9.6K,
197,Guest Of Honour,41%,67%,,drama,English,AtomEgoyan,"AtomEgoyan,SimoneUrdl,JenniferWeiss",AtomEgoyan,"Jul10,2020 limited","Jul10,2020",1h45m,"EgoFilmArts,TheFilmFarm",,,,
198,Black Magic For White Boys,80%,NaN,,comedy,English,OnurTukel,GigiGraff,OnurTukel,"Jul3,2020 limited","Jul3,2020",1h45m,,,,,
199,The Outpost,92%,84%,R(SexualReferences|PervasiveLanguage|GrislyImages|WarViolence),"drama,war",English,RodLurie,"MarcFrydman,JeffreyGreenstein,PaulMichaelMerryman,PaulTamasy,LesWeldon,JonathanYunger","EricJohnson,PaulTamasy","Jul3,2020 limited","Jul3,2020",2h3m,"YorkFilms,MillenniumMedia",Flat(1.85:1),,,
200,Volition,88%,89%,,"scifi,mysteryandthriller",English,TonyDeanSmith,"RyanW.Smith,TonyDeanSmith","TonyDeanSmith,RyanW.Smith","Jul10,2020 limited","Jul10,2020",1h31m,"PalyProductions,SmithBrothersFilmCompany",Scope(2.35:1),,,
201,First Cow,96%,56%,PG-13(BriefStrongLanguage),"western,drama",English,KellyReichardt,"NeilKopp,VincentSavino,AnishSavjani","JonathanRaymond,KellyReichardt","Mar6,2020 limited","Jul10,2020",2h2m,FilmScience,,,$161.0K,
202,The Prince (El Principe),92%,86%,,drama,English,SebastiánMuñoz,,,,"Jul7,2020",,,,,,
203,Suzi Q,100%,100%,,"music,documentary",English(Australia),LiamFirmager,,,"Jul1,2020 limited","Jul3,2020",1h38m,"AcmeFilmCompany,ScreenAustralia",,,,
204,Inmate #1: The Rise Of Danny Trejo,100%,100%,,documentary,English,BrettHarvey,,"ScottDodds,BrettHarvey",,"Jul5,2020",1h50m,,,,,
205,John Lewis: Good Trouble,96%,73%,PG(ThematicMaterial|SomeRacialEpithets|Smoking|Violence),documentary,English,DawnPorter,"ErikaAlexander,BenArnon,DawnPorter,LauraMichalchyshyn",,"Jul3,2020 limited","Jul3,2020",1h36m,"AGCStudios,ColorFarmMedia,CNNFilms",,,,
206,Relic,91%,48%,R(DisturbingImages|SomeHorrorViolence|Language),"horror,drama",English,NatalieErikaJames,JakeGyllenhaal,"NatalieErikaJames,ChristianWhite","Jul10,2020 limited","Jun26,2020",1h29m,"NineStoriesProductions,AGBO,FilmVictoria,CarverFilms,ScreenAustralia",Scope(2.35:1),,$1.0M,
207,Disclosure,100%,NaN,,drama,English,MichaelBentham,DonnaLyon,MichaelBentham,,"Jun26,2020",,DisclosureProductions,,,,
208,Enter The Fat Dragon,64%,90%,,"action,comedy,sportsandfitness",Chinese,TanigakiKenji,"ConnieWong,DonnieYenJi-Dan",JingWong,"Feb14,2020 limited","Jul12,2020",1h37m,"BonaFilmGroup,Mega-VisionPictures,BulletFilms",Scope(2.35:1),,$46.9K,
209,Ask No Questions,100%,86%,,documentary,English,"JasonLoftus,EricPedicelli",JasonLoftus,,,"Jun28,2020",1h19m,,,,,
210,Animation Outlaws,100%,NaN,,documentary,English,KatAlioshin,KatAlioshin,,,"Jul12,2020",1h5m,,,,,
211,Archive,71%,70%,,scifi,English(UnitedKingdom),GavinRothery,"PhilipHerd,TheoJames,CoraPalfrey",GavinRothery,"Jul10,2020 limited","Jul10,2020",1h45m,"MetrolTechnology,Independent,HeadGearFilms,HeroSquared,Untapped",Scope(2.35:1),,$118.7K,
212,Four Kids And It,50%,19%,PG(SomeRude/SuggestiveComments|Language|FantasyViolence|ThematicElements),fantasy,English(UnitedKingdom),AndyDeEmmony,"JulieBaines,AnneBrogan",SimonLewis,"Jun30,2020 limited","Jun30,2020",1h50m,"DanFilms,KindleEntertainment,DeadpanPictures",,,,
213,Elvis From Outer Space,0%,NaN,,"comedy,scifi",English,M.Z.Silverman,,,"Jul7,2020 limited","Jul7,2020",1h32m,,,,,
214,Money Machine,44%,NaN,,documentary,English,RamseyDenison,"DouglasBlush,MikeTurber",,,"Jul3,2020",1h14m,,,,,
215,Force Of Nature,9%,20%,R(PervasiveLanguage|Violence),"mysteryandthriller,action",English,MichaelPolish,"RandallEmmett,GeorgeFurla,LuilloRuiz,ShaunSanghani,MarkStewart",CoryMiller,"Jun30,2020 limited","Jun30,2020",1h31m,"Pimienta,ForceofNatureFilm,RiverBayFilms,WayDownEastProductions,FONFilmProduction,SSSEntertainment,Emmett/Furla/OasisFilms,GrindstoneEntertainmentGroup,Ingenious",,,,
216,"I, Pastafari: A Flying Spaghetti Monster Story",75%,85%,,documentary,English,MichaelArthur,MichaelArthur,,"Jul7,2020 limited","Jul7,2020",56m,BreadBagBoot,,,,
217,Mighty Oak,65%,88%,PG-13(SomeAccidentImages|Language|BriefSuggestiveComments|SubstanceAbuse|ThematicContent),"comedy,music,drama",English,SeanMcNamara,"DavidBrookwell,FrankRagen",MattAllen,"Jun5,2020 limited","Jul5,2020",1h42m,Brookwell-McNamaraEntertainment,,,,
218,Money Plane,25%,46%,,"mysteryandthriller,action",English,AndrewLawrence,"TylerW.Konney,RichardSwitzer",AndrewLawrence,,"Jul10,2020",1h22m,"Dawn'sLight,Taylor&Dodge",,,,
219,Useless Humans,40%,96%,,"scifi,comedy",English,StephenOhl,"JonBloch,RyanScaringe",TravisBetz,"Jul14,2020 limited","Jul12,2020",1h17m,KinogoPictures,,,,
220,Never Too Late,50%,50%,,"comedy,drama",English(Australia),MarkLamprell,"AntonyI.Ginnane,DavidLightfoot",LukePreston,,"Jul10,2020",1h38m,"R&RFilms,McMahonInternationalPictures,ElevateProductionFinance",,,,
221,Denise Ho: Becoming The Song,90%,NaN,,"music,documentary",English,SueWilliams,SueWilliams,,,"Aug3,2020",1h23m,"AquarianWorks,AmbricaProductions",Flat(1.85:1),,,
222,Baby Frankenstein,83%,NaN,,"fantasy,scifi,comedy,drama",English,JonYonkondy,DenisePantoja,MikeRutkoski,"Oct26,2018 limited","Jun23,2020",1h23m,"BarefootGirlProductions,MiltonVedicPictures",,,,
