,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3656,Meru,89%,91%,R(Language),documentary,English,"JimmyChin,ElizabethChaiVasarhelyi","JimmyChin,ShannonEthridge,ElizabethChaiVasarhelyi",,"Aug14,2015 limited","Apr5,2016",1h30m,LittleMonsterFilms,,,$2.3M,
3657,The Stanford Prison Experiment,84%,75%,R(Language|AbusiveBehavior|SomeSexualReferences),"drama,history",English,KylePatrickAlvarez,"BrentEmery,LizzieFriedman,KarenLauder,GregLittle,LaurenBratman",TimTalbott,"Jul17,2015 limited","Nov30,2016",1h57m,"Coupd'EtatFilms,VineyardPointProductions",,,$643.6K,
3658,Tangerine,96%,76%,R(DrugUse|DisturbingSexualContent|GraphicNudity|LanguageThroughout|StrongSexualContent),"comedy,drama",English,SeanBaker,"SeanBaker,KarrieCox,MarcusCox,DarrenDean,Shih-ChingTsou",SeanBaker,"Jul10,2015 limited","Jan31,2017",1h27m,"DuplassBrothers,ThroughFilms",,,$701.8K,
3659,Mr. Holmes,88%,70%,PG(SomeDisturbingImages|IncidentalSmoking|ThematicElements),"mysteryandthriller,drama",English,BillCondon,"AnneCarey,IainCanning,EmileSherman",JeffreyHatcher,"Jul24,2015 wide","May13,2016",1h45m,"ArcherGray,See-SawFilms",,DolbyDigital,$17.7M,
3660,Winning: The Racing Life Of Paul Newman,90%,91%,,"documentary,biography",English,"AdamCarolla,NateAdams","NateAdams,AdamCarolla",,,"Feb5,2016",1h23m,"ChassyMedia(II),Sontalia,Mollette",,,,
3661,Unbranded,75%,84%,PG-13(SomeLanguage|UnsettlingImages),documentary,English,PhillipBaribeau,"BenMasters,PhillipBaribeau,DennisAig",,"Sep25,2015 limited","Jan30,2017",1h45m,ImplementProductions,,,,
3662,Once I Was A Beehive,75%,70%,PG(BriefPeril|MildThematicElements),"comedy,drama",English,MaclainNelson,"JakeVanWagoner,MaclainNelson",MaclainNelson,"Aug14,2015 limited","Aug10,2016",1h59m,,,,$597.0K,
3663,Bound To Vengeance,20%,33%,,"mysteryandthriller,horror",English,JoséManuelCravioto,"AlexGarcia,RodolfoMarquez,DanielPosada","RockShainkJr.,KeithKjornes","Jun26,2015 limited","Dec5,2016",1h20m,"DarkFactory,ItacaFilms",,,,
3664,Wild City,50%,35%,,"mysteryandthriller,action",Chinese,RingoLam,"RingoLam,JingChrisLiu",RingoLam,"Jul31,2015 limited","Nov10,2015",1h44m,,,DolbyDigital,,
3665,Applesauce,63%,61%,,comedy,English,OnurTukel,"MattGrady,KarlJacob,MelodieSisk",OnurTukel,,"Aug18,2016",1h31m,,,,,
